Range	60,0dB	-120,0dBm
Mobile unit	1	Mobile Terminal	 00,00000	 000,00000	0,0
Fixed unit	2	Monte da Virgem	 41,11313	-008,59838	200,1
Fixed unit	3	Sardoura	 41,04918	-008,31171	316,6
Fixed unit	4	Resende	 41,13410	-007,98018	552,6
Latitude	Longitude	Rx(dB)	Best unit
 41,40347	-008,71583	 037,1	2
 41,40347	-008,71083	 039,0	2
 41,40347	-008,70584	 039,0	2
 41,40347	-008,70085	 038,1	2
 41,40347	-008,69586	 035,5	2
 41,40348	-008,69087	 029,6	2
 41,40347	-008,68588	 034,9	2
 41,40347	-008,68089	 034,9	2
 41,40347	-008,67590	 031,5	2
 41,40347	-008,67091	 030,4	2
 41,40347	-008,66593	 019,9	2
 41,40347	-008,66093	 021,2	2
 41,40347	-008,65594	 016,9	2
 41,40347	-008,65095	 013,1	0
 41,40347	-008,64596	 021,2	2
 41,40347	-008,64097	 017,4	2
 41,40347	-008,63598	 011,0	2
 41,40347	-008,63099	 014,9	2
 41,40347	-008,62600	 017,9	2
 41,40347	-008,62101	 002,5	0
 41,40347	-008,61602	 008,2	2
 41,40347	-008,61103	 000,1	0
 41,40347	-008,60604	 017,3	2
 41,40347	-008,60105	 029,3	2
 41,40347	-008,59606	 038,2	2
 41,40348	-008,59107	 013,6	2
 41,40347	-008,58608	 011,5	2
 41,40347	-008,58109	 009,3	0
 41,40347	-008,57610	 030,1	2
 41,40347	-008,57111	 008,6	0
 41,40347	-008,56612	 033,3	2
 41,40347	-008,56113	 038,6	2
 41,40347	-008,55614	 042,5	2
 41,40347	-008,55115	 046,8	2
 41,40347	-008,54616	 048,3	2
 41,40347	-008,54117	 032,6	2
 41,40347	-008,53618	 026,4	0
 41,40347	-008,53119	 020,5	0
 41,40347	-008,52620	 016,8	0
 41,40347	-008,52121	 028,7	2
 41,40347	-008,51622	 019,8	2
 41,40347	-008,51123	 025,7	0
 41,40348	-008,50624	 036,1	2
 41,40347	-008,50125	 037,8	2
 41,40347	-008,49626	 037,8	2
 41,40347	-008,49127	 026,7	2
 41,40347	-008,48628	 024,7	2
 41,40347	-008,48129	 033,4	2
 41,40347	-008,47630	 035,1	2
 41,40347	-008,47131	 034,9	2
 41,40347	-008,46632	 033,7	2
 41,40347	-008,46133	 032,3	2
 41,40347	-008,45634	 031,3	2
 41,40347	-008,45135	 025,0	2
 41,40348	-008,44636	 010,4	0
 41,40347	-008,44137	 016,2	2
 41,40347	-008,43638	 031,2	2
 41,40347	-008,43139	 034,7	2
 41,40347	-008,42640	 006,9	2
 41,40347	-008,42141	 035,7	2
 41,40347	-008,41642	 034,7	2
 41,40347	-008,41143	 033,7	2
 41,40347	-008,40644	 027,1	2
 41,40347	-008,40145	 017,8	0
 41,40347	-008,39646	 023,8	2
 41,40347	-008,39147	 022,1	2
 41,40347	-008,38648	 017,3	0
 41,40347	-008,38149	 017,9	2
 41,40347	-008,37650	 003,6	0
 41,40347	-008,37151	 011,1	0
 41,40347	-008,36652	 008,9	0
 41,40347	-008,36153	 013,7	0
 41,40347	-008,35654	 021,8	0
 41,40347	-008,35155	 026,0	0
 41,40348	-008,34656	 028,2	0
 41,40347	-008,34157	 028,2	0
 41,40347	-008,33658	 024,3	0
 41,40347	-008,33159	 006,3	0
 41,40347	-008,32660	 020,0	3
 41,40347	-008,32161	 014,8	0
 41,40347	-008,31662	 023,7	0
 41,40347	-008,31163	 028,0	0
 41,40347	-008,30663	 024,7	0
 41,40347	-008,30165	 022,9	2
 41,40347	-008,29666	 022,7	2
 41,40347	-008,29167	 029,6	2
 41,40347	-008,28667	 005,0	2
 41,40347	-008,28168	 012,5	0
 41,40347	-008,27670	-012,8	0
 41,40347	-008,27170	 029,0	3
 41,40347	-008,26672	 026,8	0
 41,40347	-008,26172	 026,9	0
 41,40347	-008,25673	 025,8	0
 41,40347	-008,25174	 013,6	3
 41,40347	-008,24675	 025,9	0
 41,40347	-008,24176	 028,2	0
 41,40347	-008,23677	 007,7	3
 41,40347	-008,23178	 008,3	3
 41,40347	-008,22679	 010,9	3
 41,40347	-008,22180	-004,1	0
 41,40347	-008,21681	 004,1	0
 41,40347	-008,21182	 000,6	0
 41,40347	-008,20683	 012,9	0
 41,40347	-008,20184	 018,4	0
 41,40347	-008,19685	 030,4	0
 41,40347	-008,19186	 026,1	0
 41,40347	-008,18687	 017,8	0
 41,40347	-008,18188	 027,0	0
 41,40347	-008,17689	 028,6	0
 41,40347	-008,17190	 026,4	2
 41,40347	-008,16691	 026,6	2
 41,40347	-008,16192	 012,1	0
 41,40347	-008,15693	 001,6	0
 41,40347	-008,15194	 026,7	0
 41,40347	-008,14695	 031,3	0
 41,40347	-008,14196	 006,7	3
 41,40347	-008,13697	 013,3	3
 41,40347	-008,13198	 025,1	0
 41,40347	-008,12699	 010,2	0
 41,40347	-008,12200	 010,8	0
 41,40347	-008,11701	 030,9	0
 41,40347	-008,11202	 024,2	0
 41,40347	-008,10703	 002,2	0
 41,40347	-008,10204	 002,8	0
 41,40347	-008,09705	 005,4	0
 41,40347	-008,09206	 026,0	3
 41,40347	-008,08707	 027,1	3
 41,40347	-008,08208	 034,6	0
 41,40347	-008,07709	 035,9	0
 41,40347	-008,07210	 036,6	0
 41,40347	-008,06711	 010,7	0
 41,40347	-008,06212	 010,7	0
 41,40347	-008,05713	 010,7	0
 41,40347	-008,05214	 011,5	0
 41,40347	-008,04715	 005,8	0
 41,40347	-008,04216	 014,1	3
 41,40347	-008,03717	 021,5	3
 41,40347	-008,03218	 031,3	3
 41,40347	-008,02719	 024,1	0
 41,40347	-008,02220	-003,7	0
 41,40347	-008,01721	-002,9	4
 41,40347	-008,01222	 001,7	0
 41,40347	-008,00723	 012,3	0
 41,40347	-008,00224	 016,3	0
 41,40347	-007,99725	 012,5	0
 41,40347	-007,99226	 014,9	0
 41,40347	-007,98727	 017,0	3
 41,40347	-007,98228	 017,7	3
 41,40347	-007,97729	-002,0	4
 41,40347	-007,97230	-008,1	0
 41,40347	-007,96731	 011,5	0
 41,40347	-007,96232	 006,3	3
 41,40347	-007,95733	 005,9	3
 41,40347	-007,95234	 017,5	3
 41,40347	-007,94735	 018,4	3
 41,40347	-007,94236	 018,2	3
 41,40347	-007,93737	 013,2	3
 41,40347	-007,93238	 020,5	3
 41,40347	-007,92739	 028,0	3
 41,40347	-007,92240	 032,7	3
 41,40347	-007,91741	 016,8	3
 41,40348	-007,91242	 017,1	0
 41,40347	-007,90743	 013,3	0
 41,40347	-007,90244	 013,0	0
 41,40347	-007,89745	 023,2	0
 41,40347	-007,89246	 021,0	0
 41,40347	-007,88747	 020,2	0
 41,40347	-007,88247	 012,0	3
 41,40347	-007,87748	 014,5	0
 41,40347	-007,87250	 011,3	3
 41,40347	-007,86751	-001,2	0
 41,40347	-007,86251	-004,1	0
 41,40347	-007,85752	 012,2	3
 41,40347	-007,85253	 022,1	2
 41,40347	-007,84754	 037,6	0
 41,40347	-007,84255	 036,9	0
 41,40347	-007,83756	 031,0	0
 41,40347	-007,83257	 030,0	0
 41,40347	-007,82758	 030,2	2
 41,40347	-007,82259	 031,2	0
 41,40347	-007,81760	 036,8	0
 41,40347	-007,81261	 033,9	2
 41,40347	-007,80762	 028,9	2
 41,40347	-007,80263	 030,0	0
 41,40347	-007,79764	 036,7	0
 41,40347	-007,79265	 005,6	0
 41,40347	-007,78766	 001,8	0
 41,40347	-007,78267	 006,4	3
 41,40347	-007,77768	 013,0	3
 41,40347	-007,77269	 026,5	0
 41,40347	-007,76770	 035,2	0
 41,40347	-007,76271	 017,9	0
 41,40347	-007,75772	 033,4	2
 41,40347	-007,75273	 036,7	2
 41,40347	-007,74774	 001,6	0
 41,40347	-007,74275	-006,1	0
 41,40347	-007,73776	-015,3	4
 41,40347	-007,73277	-020,9	0
 41,40347	-007,72778	-021,5	4
 41,40347	-007,72279	-016,1	4
 41,40347	-007,71780	-012,2	4
 41,40347	-007,71281	-005,2	4
 41,40347	-007,70782	 002,9	4
 41,40347	-007,70283	 000,1	0
 41,40347	-007,69784	-000,1	4
 41,40347	-007,69285	-007,6	4
 41,40347	-007,68786	-017,1	4
 41,40347	-007,68287	 008,1	4
 41,40347	-007,67788	 012,1	0
 41,40347	-007,67289	 013,9	0
 41,40347	-007,66790	 015,2	0
 41,40347	-007,66291	 015,1	0
 41,40347	-007,65792	 015,0	0
 41,40347	-007,65293	 015,1	0
 41,40347	-007,64794	 005,2	0
 41,40347	-007,64295	 015,2	0
 41,40347	-007,63796	-010,8	4
 41,40347	-007,63297	 016,7	0
 41,40347	-007,62798	 015,7	4
 41,40347	-007,62299	 009,8	0
 41,40347	-007,61800	-020,0	4
 41,40347	-007,61301	-014,6	0
 41,40347	-007,60802	-005,6	4
 41,40347	-007,60303	-010,6	0
 41,40347	-007,59804	 000,4	0
 41,40347	-007,59305	 004,2	0
 41,40347	-007,58806	 008,1	0
 41,40347	-007,58307	 003,8	0
 41,40347	-007,57808	 006,3	0
 41,40347	-007,57309	 004,8	0
 41,40347	-007,56810	 013,3	0
 41,40347	-007,56311	 018,6	0
 41,40347	-007,55812	-023,1	0
 41,40347	-007,55313	-023,9	0
 41,40347	-007,54814	-008,3	0
 41,40347	-007,54315	 009,1	4
 41,40347	-007,53816	 011,4	0
 41,40347	-007,53317	 016,0	0
 41,40347	-007,52818	 017,1	0
 41,40347	-007,52319	-006,7	0
 41,40347	-007,51820	-009,3	0
 41,40347	-007,51321	-012,8	0
 41,40347	-007,50822	-021,7	0
 41,40347	-007,50323	-015,9	0
 41,40347	-007,49824	-020,0	0
 41,40347	-007,49325	-013,1	0
 41,40347	-007,48826	-014,2	0
 41,40347	-007,48327	-008,4	0
 41,40347	-007,47828	-019,6	0
 41,40347	-007,47329	-030,7	0
 41,40347	-007,46830	-034,2	0
 41,40347	-007,46331	-009,7	0
 41,40347	-007,45831	-001,8	0
 41,40347	-007,45332	-003,9	0
 41,40347	-007,44834	-014,2	0
 41,40347	-007,44334	-007,8	0
 41,40347	-007,43835	-002,9	0
 41,40347	-007,43336	-000,6	0
 41,40347	-007,42837	-000,3	0
 41,40347	-007,42338	-017,1	0
 41,40347	-007,41839	 003,1	0
 41,40347	-007,41340	 004,2	0
 41,40347	-007,40841	 008,1	0
 41,40347	-007,40342	-036,8	0
 41,40347	-007,39843	-034,9	0
 41,40348	-007,39344	-014,3	0
 41,40347	-007,38845	 000,7	0
 41,40347	-007,38346	 009,3	0
 41,40347	-007,37847	-012,0	0
 41,40347	-007,37348	-038,7	0
 41,40347	-007,36849	-028,1	0
 41,40347	-007,36350	-012,5	0
 41,40347	-007,35851	-006,5	4
 41,40347	-007,35352	 001,0	4
 41,40347	-007,34853	 004,6	4
 41,40347	-007,34354	-012,3	4
 41,40347	-007,33855	-007,1	0
 41,40347	-007,33356	-006,3	0
 41,40347	-007,32857	 009,5	4
 41,40347	-007,32358	 011,6	4
 41,40347	-007,31859	 013,5	4
 41,40347	-007,31360	 014,4	4
 41,40347	-007,30861	-011,5	4
 41,40347	-007,30362	-015,1	4
 41,40347	-007,29863	 005,7	4
 41,40347	-007,29364	-034,1	4
