Range	60,0dB	-120,0dBm
Mobile unit	1	Mobile Terminal	 00,00000	 000,00000	0,0
Fixed unit	2	Monte da Virgem	 41,11313	-008,59838	200,1
Fixed unit	3	Sardoura	 41,04918	-008,31171	316,6
Fixed unit	4	Resende	 41,13410	-007,98018	552,6
Fixed unit	5	Ponto 4	 41,01222	-007,41833	990,2
Latitude	Longitude	Rx(dB)	Best unit
 41,40347	-008,71583	 037,1	2
 41,40347	-008,71083	 039,0	2
 41,40347	-008,70584	 039,0	2
 41,40347	-008,70085	 038,1	2
 41,40347	-008,69586	 035,5	2
 41,40347	-008,69087	 029,6	2
 41,40347	-008,68588	 034,9	2
 41,40347	-008,68089	 034,9	2
 41,40347	-008,67590	 031,4	2
 41,40347	-008,67091	 030,4	2
 41,40347	-008,66593	 019,8	2
 41,40347	-008,66093	 021,2	2
 41,40347	-008,65594	 017,0	2
 41,40347	-008,65095	 013,1	0
 41,40347	-008,64596	 021,2	2
 41,40347	-008,64097	 017,4	2
 41,40347	-008,63598	 011,0	2
 41,40347	-008,63099	 014,9	2
 41,40347	-008,62600	 018,0	2
 41,40347	-008,62101	 002,4	0
 41,40347	-008,61602	 008,2	2
 41,40347	-008,61103	 000,1	0
 41,40347	-008,60604	 017,4	2
 41,40347	-008,60105	 029,3	2
 41,40347	-008,59606	 038,2	2
 41,40347	-008,59107	 013,6	2
 41,40347	-008,58608	 011,6	2
 41,40347	-008,58109	 008,3	0
 41,40347	-008,57610	 030,9	2
 41,40347	-008,57111	 008,6	0
 41,40347	-008,56612	 033,3	2
 41,40347	-008,56113	 038,6	2
 41,40347	-008,55614	 042,5	2
 41,40347	-008,55115	 046,8	2
 41,40346	-008,54616	 048,3	2
 41,40346	-008,54117	 032,7	2
 41,40347	-008,53618	 026,3	0
 41,40346	-008,53119	 020,6	0
 41,40347	-008,52620	 016,8	0
 41,40347	-008,52121	 028,6	2
 41,40347	-008,51622	 019,8	2
 41,40346	-008,51123	 025,7	0
 41,40347	-008,50624	 036,1	2
 41,40346	-008,50125	 037,8	2
 41,40347	-008,49626	 037,8	2
 41,40347	-008,49127	 026,6	2
 41,40347	-008,48628	 025,2	2
 41,40347	-008,48129	 033,4	2
 41,40347	-008,47630	 035,1	2
 41,40346	-008,47131	 034,9	2
 41,40347	-008,46632	 033,7	2
 41,40347	-008,46133	 032,3	2
 41,40347	-008,45634	 031,3	2
 41,40347	-008,45135	 024,9	2
 41,40347	-008,44636	 010,4	0
 41,40346	-008,44137	 016,2	2
 41,40347	-008,43638	 031,2	2
 41,40346	-008,43139	 034,7	2
 41,40347	-008,42640	 006,7	2
 41,40347	-008,42141	 035,7	2
 41,40347	-008,41642	 034,7	2
 41,40347	-008,41143	 033,7	2
 41,40347	-008,40644	 026,9	2
 41,40346	-008,40145	 017,8	0
 41,40347	-008,39646	 023,8	2
 41,40347	-008,39147	 022,1	2
 41,40347	-008,38648	 017,3	0
 41,40347	-008,38149	 017,9	2
 41,40347	-008,37650	 003,6	0
 41,40347	-008,37151	 011,1	0
 41,40347	-008,36652	 009,2	0
 41,40347	-008,36153	 013,7	0
 41,40347	-008,35654	 021,8	0
 41,40347	-008,35155	 026,0	0
 41,40347	-008,34656	 028,2	0
 41,40347	-008,34157	 028,2	0
 41,40347	-008,33658	 024,3	0
 41,40347	-008,33159	 006,5	0
 41,40347	-008,32660	 020,0	3
 41,40347	-008,32161	 014,8	0
 41,40347	-008,31662	 023,7	0
 41,40347	-008,31163	 028,0	0
 41,40347	-008,30663	 024,7	0
 41,40347	-008,30165	 021,0	2
 41,40347	-008,29666	 022,7	2
 41,40347	-008,29167	 029,6	2
 41,40347	-008,28667	 004,9	2
 41,40347	-008,28168	 012,6	0
 41,40347	-008,27670	-012,8	0
 41,40347	-008,27170	 029,0	3
 41,40347	-008,26672	 026,8	0
 41,40347	-008,26172	 026,9	0
 41,40347	-008,25673	 025,8	0
 41,40347	-008,25175	 014,0	3
 41,40347	-008,24675	 025,9	0
 41,40347	-008,24176	 028,2	0
 41,40347	-008,23677	 007,7	3
 41,40347	-008,23178	 008,2	3
 41,40347	-008,22679	 010,9	3
 41,40347	-008,22180	-004,1	0
 41,40347	-008,21681	 004,1	0
 41,40347	-008,21182	 000,5	0
 41,40347	-008,20683	 012,8	0
 41,40347	-008,20184	 018,3	0
 41,40347	-008,19685	 030,4	0
 41,40347	-008,19186	 026,1	0
 41,40347	-008,18687	 017,8	0
 41,40347	-008,18188	 027,0	0
 41,40347	-008,17689	 028,6	0
 41,40347	-008,17190	 026,4	2
 41,40347	-008,16691	 026,6	2
 41,40347	-008,16192	 012,0	3
 41,40347	-008,15693	 001,5	0
 41,40347	-008,15194	 026,7	0
 41,40347	-008,14695	 031,3	0
 41,40347	-008,14196	 006,9	3
 41,40347	-008,13697	 013,4	3
 41,40347	-008,13198	 025,1	0
 41,40347	-008,12699	 010,1	0
 41,40347	-008,12200	 010,8	0
 41,40346	-008,11701	 030,9	0
 41,40347	-008,11202	 024,2	0
 41,40347	-008,10703	 010,2	0
 41,40347	-008,10204	 007,9	0
 41,40347	-008,09705	 005,4	0
 41,40347	-008,09206	 026,0	3
 41,40347	-008,08707	 027,0	3
 41,40347	-008,08208	 034,6	0
 41,40347	-008,07709	 035,9	0
 41,40347	-008,07210	 036,6	0
 41,40347	-008,06711	 017,5	0
 41,40347	-008,06212	 017,1	0
 41,40347	-008,05713	 016,2	0
 41,40347	-008,05214	 014,8	0
 41,40347	-008,04715	 005,8	0
 41,40347	-008,04216	 014,1	3
 41,40347	-008,03717	 021,5	3
 41,40347	-008,03218	 031,3	3
 41,40347	-008,02719	 024,1	0
 41,40347	-008,02220	 014,4	5
 41,40347	-008,01721	 013,7	5
 41,40347	-008,01222	 010,6	0
 41,40347	-008,00723	 012,3	0
 41,40347	-008,00224	 016,3	0
 41,40347	-007,99725	 012,5	0
 41,40347	-007,99226	 014,9	0
 41,40347	-007,98727	 017,0	3
 41,40347	-007,98228	 017,7	3
 41,40347	-007,97729	 001,2	0
 41,40347	-007,97230	-003,3	0
 41,40347	-007,96731	 011,5	0
 41,40347	-007,96232	 006,3	3
 41,40347	-007,95733	 005,8	3
 41,40347	-007,95234	 017,5	3
 41,40347	-007,94735	 018,4	3
 41,40347	-007,94236	 018,2	3
 41,40347	-007,93737	 013,1	3
 41,40347	-007,93238	 020,5	3
 41,40347	-007,92739	 028,0	3
 41,40347	-007,92240	 032,7	3
 41,40347	-007,91741	 016,8	3
 41,40347	-007,91242	 017,1	0
 41,40347	-007,90743	 013,3	0
 41,40347	-007,90244	 013,0	0
 41,40347	-007,89745	 023,2	0
 41,40347	-007,89246	 021,0	0
 41,40347	-007,88747	 020,2	0
 41,40347	-007,88248	 012,0	3
 41,40347	-007,87748	 014,5	0
 41,40347	-007,87250	 011,3	3
 41,40347	-007,86751	-001,3	0
 41,40347	-007,86251	-004,1	0
 41,40347	-007,85752	 012,3	3
 41,40347	-007,85253	 022,1	2
 41,40347	-007,84754	 037,6	0
 41,40347	-007,84255	 036,9	0
 41,40347	-007,83756	 031,0	0
 41,40347	-007,83257	 030,0	0
 41,40347	-007,82758	 030,2	2
 41,40347	-007,82259	 031,2	0
 41,40347	-007,81760	 036,8	0
 41,40347	-007,81261	 034,0	2
 41,40347	-007,80762	 028,9	2
 41,40347	-007,80263	 029,9	0
 41,40347	-007,79764	 036,7	0
 41,40347	-007,79265	 023,8	5
 41,40347	-007,78766	 022,7	5
 41,40347	-007,78267	 015,6	0
 41,40347	-007,77768	 013,0	0
 41,40347	-007,77269	 026,5	0
 41,40347	-007,76770	 035,1	0
 41,40347	-007,76271	 021,6	0
 41,40347	-007,75772	 033,4	0
 41,40347	-007,75273	 036,7	2
 41,40347	-007,74774	 020,0	5
 41,40347	-007,74275	 044,7	5
 41,40347	-007,73776	 046,2	5
 41,40347	-007,73277	 030,9	5
 41,40347	-007,72778	 044,2	5
 41,40347	-007,72279	 032,6	5
 41,40347	-007,71780	 014,3	5
 41,40347	-007,71281	 001,3	0
 41,40347	-007,70782	 002,9	0
 41,40347	-007,70283	 033,7	5
 41,40347	-007,69784	 010,2	5
 41,40347	-007,69285	 024,8	5
 41,40347	-007,68786	 011,5	5
 41,40347	-007,68287	 008,1	0
 41,40347	-007,67788	 012,1	0
 41,40347	-007,67289	 015,4	0
 41,40347	-007,66790	 021,9	0
 41,40347	-007,66291	 015,1	0
 41,40347	-007,65792	 038,3	5
 41,40347	-007,65293	 043,3	5
 41,40347	-007,64794	 046,2	5
 41,40347	-007,64295	 023,4	0
 41,40347	-007,63796	 046,0	5
 41,40347	-007,63297	 046,4	5
 41,40347	-007,62798	 046,4	5
 41,40346	-007,62299	 009,8	0
 41,40347	-007,61800	 046,6	5
 41,40347	-007,61301	 042,5	5
 41,40347	-007,60802	 038,8	5
 41,40347	-007,60303	 015,2	5
 41,40347	-007,59804	 024,0	5
 41,40347	-007,59305	 016,0	5
 41,40347	-007,58806	 042,0	5
 41,40347	-007,58307	 006,6	0
 41,40347	-007,57808	 006,3	0
 41,40347	-007,57309	 004,8	0
 41,40347	-007,56810	 013,3	0
 41,40347	-007,56311	 018,6	0
 41,40347	-007,55812	 043,3	5
 41,40347	-007,55313	 047,0	5
 41,40347	-007,54814	 026,0	5
 41,40347	-007,54315	 016,3	0
 41,40347	-007,53816	 027,1	5
 41,40347	-007,53317	 046,8	5
 41,40347	-007,52818	 047,2	5
 41,40347	-007,52319	 043,8	5
 41,40347	-007,51820	 033,5	5
 41,40347	-007,51321	 042,1	5
 41,40347	-007,50822	 018,2	5
 41,40347	-007,50323	 028,5	5
 41,40347	-007,49824	 015,7	5
 41,40347	-007,49325	 002,1	5
 41,40347	-007,48826	 008,0	5
 41,40347	-007,48327	 024,5	5
 41,40347	-007,47828	 013,6	5
 41,40347	-007,47329	 014,0	5
 41,40347	-007,46830	-003,0	5
 41,40347	-007,46331	 008,5	5
 41,40347	-007,45832	 022,3	5
 41,40347	-007,45332	 016,7	5
 41,40347	-007,44834	 018,5	5
 41,40347	-007,44335	 021,5	5
 41,40347	-007,43835	 021,1	5
 41,40347	-007,43336	 022,7	5
 41,40347	-007,42838	 016,9	5
 41,40347	-007,42338	 009,8	5
 41,40347	-007,41839	 026,7	5
 41,40347	-007,41341	 028,1	5
 41,40347	-007,40841	 033,8	5
 41,40347	-007,40342	-011,1	5
 41,40347	-007,39843	-003,0	5
 41,40347	-007,39344	 010,8	5
 41,40347	-007,38845	 018,4	5
 41,40347	-007,38346	 037,2	5
 41,40347	-007,37847	 043,9	5
 41,40347	-007,37348	-001,7	5
 41,40347	-007,36849	 007,2	5
 41,40347	-007,36350	 016,2	5
 41,40347	-007,35851	 029,4	5
 41,40347	-007,35352	 026,1	5
 41,40347	-007,34853	 030,8	5
 41,40347	-007,34354	 026,5	5
 41,40346	-007,33855	 008,1	5
 41,40347	-007,33356	-004,1	0
 41,40347	-007,32857	 018,7	0
 41,40347	-007,32358	 011,6	0
 41,40347	-007,31859	 034,3	5
 41,40347	-007,31360	 030,4	5
 41,40346	-007,30861	 017,6	5
 41,40347	-007,30362	 014,7	5
